                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0032,                0.59293,                 1.0217,                  1.118,                0.58484,                  1.049,                0.88506,                0.85029,                0.89751,                0.57686,                 1.1469,                0.56816,                 1.1583,                  1.217,                0.55115,                 1.1781,              0.0073403,              0.0073403,              0.0073403
                     75,                 1.0095,                0.59332,                 1.0302,                 1.1207,                0.57286,                 1.0531,                0.91136,                0.77314,                0.87086,                 0.5788,                 1.1318,                0.54002,                  1.154,                  1.176,                 0.5247,                 1.1579,              0.0073034,              0.0073034,              0.0073034
                     76,                0.98886,                0.57728,                 1.0171,                 1.0916,                0.56099,                 1.0427,                0.92336,                0.81526,                0.89328,                0.57402,                  1.151,                0.55387,                 1.1641,                 1.1923,                0.54319,                 1.1751,              0.0072664,              0.0072664,              0.0072664
                     77,                 1.0038,                0.58188,                 1.0266,                 1.1036,                0.57014,                 1.0551,                0.91712,                0.78162,                0.89536,                0.58402,                 1.1633,                0.54318,                 1.1653,                 1.2155,                0.51088,                 1.1917,              0.0072295,              0.0072295,              0.0072295
                     78,                0.99503,                0.56962,                   1.02,                  1.105,                0.56294,                 1.0541,                0.90333,                 0.8352,                0.89328,                0.57094,                 1.1503,                0.55514,                 1.1564,                 1.2011,                 0.5417,                 1.1736,              0.0071925,              0.0071925,              0.0071925
                     79,                0.99329,                0.58557,                 1.0194,                 1.1109,                0.58193,                  1.053,                0.92441,                0.77259,                0.86621,                0.58223,                 1.1255,                0.55752,                 1.1516,                 1.1855,                0.53295,                 1.1831,              0.0071556,              0.0071556,              0.0071556
                     80,                0.99741,                0.57456,                 1.0188,                 1.1021,                0.55553,                 1.0483,                0.92252,                0.85199,                0.88512,                0.59884,                 1.1457,                0.55795,                 1.1556,                 1.1865,                0.53431,                 1.1656,              0.0071187,              0.0071187,              0.0071187
                     81,                0.98872,                0.58155,                 1.0191,                  1.093,                0.56937,                 1.0434,                 0.8981,                0.84883,                0.89664,                0.58728,                 1.1393,                0.54154,                 1.1529,                 1.1764,                0.54063,                 1.1588,              0.0070817,              0.0070817,              0.0070817
                     82,                0.97725,                0.56234,                 1.0063,                 1.0709,                0.55152,                 1.0291,                0.89229,                 0.8623,                0.88374,                0.56761,                 1.1453,                0.55379,                 1.1549,                 1.2071,                0.51789,                 1.1718,              0.0070448,              0.0070448,              0.0070448
                     83,                0.99649,                0.56863,                 1.0163,                 1.1068,                0.55537,                 1.0413,                0.92254,                 0.8242,                0.88613,                0.58198,                  1.139,                0.53097,                 1.1534,                 1.1999,                0.50713,                 1.1656,              0.0070078,              0.0070078,              0.0070078
                     84,                0.97676,                0.57713,                 1.0183,                 1.0895,                 0.5693,                 1.0416,                0.80979,                0.84605,                0.87434,                0.57273,                 1.1409,                0.54768,                 1.1702,                 1.1815,                0.53659,                 1.1667,              0.0069709,              0.0069709,              0.0069709
                     85,                0.97616,                0.57303,                 1.0158,                 1.0843,                0.54718,                 1.0368,                0.84958,                 0.8261,                0.86319,                0.57492,                 1.1464,                0.56355,                 1.1682,                 1.1923,                0.54227,                 1.1732,               0.006934,               0.006934,               0.006934
                     86,                0.96114,                0.56603,                 1.0072,                 1.0768,                0.52888,                 1.0353,                0.90419,                0.86195,                0.87785,                0.58843,                 1.1447,                0.54955,                  1.182,                  1.201,                0.49996,                 1.1867,               0.006897,               0.006897,               0.006897
                     87,                0.97429,                0.56422,                 1.0093,                 1.0868,                  0.539,                 1.0352,                0.93093,                0.82975,                0.89406,                0.58905,                  1.135,                0.56535,                 1.1667,                 1.1998,                0.55371,                  1.182,              0.0068601,              0.0068601,              0.0068601
                     88,                0.97279,                0.56623,                 1.0139,                 1.0778,                0.54755,                 1.0414,                 0.9601,                0.82761,                0.90054,                0.59035,                 1.1267,                0.53616,                 1.1633,                 1.1806,                0.52421,                 1.1793,              0.0068231,              0.0068231,              0.0068231
                     89,                0.96067,                0.56786,                 1.0091,                 1.0674,                0.53649,                 1.0311,                0.88292,                0.85425,                0.89514,                0.59741,                 1.1009,                 0.5285,                 1.1427,                 1.1517,                0.48877,                 1.1578,              0.0067862,              0.0067862,              0.0067862
                     90,                0.98459,                0.57019,                 1.0243,                 1.0823,                0.53975,                 1.0481,                0.88988,                0.81855,                0.88763,                0.57787,                  1.133,                0.54104,                 1.1622,                 1.1991,                 0.5321,                 1.1884,              0.0067493,              0.0067493,              0.0067493
                     91,                0.97006,                0.56037,                 1.0072,                 1.0758,                0.53743,                 1.0337,                0.87181,                0.87281,                0.90427,                0.59987,                 1.1256,                0.53408,                 1.1454,                 1.1672,                0.50134,                 1.1587,              0.0067123,              0.0067123,              0.0067123
